"SYMBOL";"NAME";"LASTSCALE";"MARKETCAP";"ADR TSO";"IPOyear";"Sector"
"AAPL34";"APPLE";"39.20";"682080,00000";"n/a";"n/a";"Finance"
"ABCB10F";"Banco ABC";"11.54";"161,72000";"n/a";"n/a";"Finance"
"ABCB4";"Banco ABC";"11.88";"1807312,59000";"n/a";"n/a";"Finance"
"ABCB4F";"Banco ABC";"11.84";"1249,73884";"n/a";"n/a";"Finance"
"ABCP11";"FII ABC IMOB";"10.90";"54,50000";"n/a";"n/a";"Finance"
"ABEV3";"AMBEV S.A.";"18.19";"63788981,77300";"n/a";"n/a";"Finance"
"ABEV3F";"AMBEV S.A.";"18.21";"46856,54764";"n/a";"n/a";"Finance"
"ABEVC17";"AMBEV S.A.";"2.10";"410,00000";"n/a";"n/a";"Finance"
"ABEVC18";"AMBEV S.A.";"0.57";"37288,33200";"n/a";"n/a";"Finance"
"ABEVC19";"AMBEV S.A.";"0.27";"4450,04000";"n/a";"n/a";"Finance"
"ABEVC47";"AMBEV S.A.";"1.31";"5240,00000";"n/a";"n/a";"Finance"
"ABEVC61";"AMBEV S.A.";"0.08";"1750,05000";"n/a";"n/a";"Finance"
"ABEVC63";"AMBEV S.A.";"0.02";"60,00000";"n/a";"n/a";"Finance"
"ABEVD18";"AMBEV S.A.";"0.93";"60129,53400";"n/a";"n/a";"Finance"
"ABEVD57";"AMBEV S.A.";"1.11";"9039,98000";"n/a";"n/a";"Finance"
"ABEVD58";"AMBEV S.A.";"0.59";"58064,00400";"n/a";"n/a";"Finance"
"ABEVD67";"AMBEV S.A.";"0.45";"18399,67500";"n/a";"n/a";"Finance"
"ABEVD68";"AMBEV S.A.";"0.38";"6435,02400";"n/a";"n/a";"Finance"
"ABEVD69";"AMBEV S.A.";"0.28";"5569,97600";"n/a";"n/a";"Finance"
"ABEVD70";"AMBEV S.A.";"0.21";"247,00000";"n/a";"n/a";"Finance"
"ABEVD72";"AMBEV S.A.";"0.10";"248,00000";"n/a";"n/a";"Finance"
"ABEVD73";"AMBEV S.A.";"0.08";"62,00000";"n/a";"n/a";"Finance"
"ABEVD8";"AMBEV S.A.";"0.77";"3850,00000";"n/a";"n/a";"Finance"
"ABEVO18";"AMBEV S.A.";"0.05";"50,00000";"n/a";"n/a";"Finance"
"ABEVO47";"AMBEV S.A.";"0.01";"100,00000";"n/a";"n/a";"Finance"
"ABEVO61";"AMBEV S.A.";"0.53";"23551,68300";"n/a";"n/a";"Finance"
"ABEVP57";"AMBEV S.A.";"0.15";"2676,00000";"n/a";"n/a";"Finance"
"ABEVP67";"AMBEV S.A.";"0.50";"22743,82800";"n/a";"n/a";"Finance"
"ABEVP68";"AMBEV S.A.";"0.61";"3355,00000";"n/a";"n/a";"Finance"
"ABEVP69";"AMBEV S.A.";"0.76";"7600,00000";"n/a";"n/a";"Finance"
"ABEVP8";"AMBEV S.A.";"0.24";"17251,13600";"n/a";"n/a";"Finance"
"ABEVQ48";"AMBEV S.A.";"0.76";"8208,00000";"n/a";"n/a";"Finance"
"ABEVQ87";"AMBEV S.A.";"0.63";"3780,00000";"n/a";"n/a";"Finance"
"ABEVS94";"AMBEV S.A.";"0.83";"6232,00000";"n/a";"n/a";"Finance"
"ABRE3";"Abril Educação S.A.";"11.96";"217686,48000";"n/a";"n/a";"Finance"
"AEFI11";"Aesapar";"105.80";"1308528,96520";"n/a";"n/a";"Finance"
"AELP3";"AES ELPA";"8.96";"896,00000";"n/a";"n/a";"Finance"
"AGCX11";"FII AG CAIXA";"967.50";"89886,64104";"n/a";"n/a";"Finance"
"AGRO3";"BRASILAGRO";"8.44";"89442,95200";"n/a";"n/a";"Finance"
